Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,miyazaki94,CART,grid search,,10,1.0,0.28227438111169867,140.49,155983.40499999997,394.9473445916556,12.45,28.000000000000004,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-3984.425250000001,"[-2356.65, -1231.535, -99.7975, -129.04500000000002, -4558.825, -26.827499999999993, -7236.41, -23212.0825, -832.94, -160.14]","[-2356.65, -1231.535, -99.7975, -129.04500000000002, -4558.825, -26.827499999999993, -7236.41, -23212.0825, -832.94, -160.14]",-3984.425250000001,-3984.425250000001,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[39.5, 54.0, 20.6, 89.5, 54.0, 7.5, 37.0, 340.0, 36.0, 67.3]",0:00:00.002018
1,miyazaki94,CART,grid search,KFold,10,0.9900014439028976,0.12592561199322005,161.543,189962.7039588889,435.8471107612036,18.529999999999998,13.0,"{'model__max_depth': 5, 'model__max_features': None}",-3011.502730429186,"[-2006.3251555555555, -1128.476887755102, -133.0685111111111, -181.088828125, -1264.2352256944446, -32.50102040816329, -985.4817361111111, -23192.164569161, -1090.9050000000002, -100.78037037037035]","[-2006.3251555555555, -1128.476887755102, -133.0685111111111, -181.088828125, -1264.2352256944446, -32.50102040816329, -985.4817361111111, -23192.164569161, -1090.9050000000002, -100.78037037037035]",-3011.502730429186,-3011.502730429186,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[40.67, 40.67, 21.866666666666664, 89.5, 40.67, 8.233333333333333, 51.46666666666667, 212.0, 85.26666666666667, 85.26666666666667]",0:00:00.378599
1,miyazaki94,CART,grid search,RepeatedKFold,10,0.5120925312367834,0.0675165254804484,165.45687500000003,202656.75856336806,450.1741424864028,19.7,7.000000000000001,"{'model__max_depth': 1, 'model__max_features': 0.3}",-3624.802242116775,"[-5272.602377777779, -9222.557691929702, -691.3125, -479.8828444444443, -1424.1619392390014, -462.7586111111111, -15192.869812011719, -12228.237091319857, -5220.256133333332, -960.1323701942132]","[-57.349604591836716, -14940.878168945312, -626.1977777777777, -993.699030612245, -1436.64556122449, -585.1485999999996, -6083.209844444443, -10780.187951388889, -955.4968962962967, -118.52396749900909, -864.8669444444441, -10995.224630083236, -2185.2778369797866, -382.49913265306117, -1730.3598469387757, -643.1748469387754, -650.5182270408163, -4102.763668055555, -4482.663087062088, -11258.735741464117, -4496.22771111111, -1854.4957653061224, -498.10409999999973, -10161.9975, -872.8329081632654, -571.0773444444444, -11048.95200820452, -4056.5026680555557, -99.64398335315099, -1210.8119104240984]",-5115.477137136116,-3624.802242116775,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[167.53333333333333, 40.978125, 40.978125, 40.978125, 40.978125, 40.978125, 40.978125, 167.53333333333333, 40.978125, 40.978125]",0:00:00.634141
1,miyazaki94,CART,grid search,HoldOut,10,1.0,0.28227438111169867,140.49,155983.40499999997,394.9473445916556,12.45,28.000000000000004,"{'model__max_depth': None, 'model__max_features': None}",-526.10875,"[-2356.65, -1231.535, -99.7975, -129.04500000000002, -4558.825, -26.827499999999993, -7236.41, -23212.0825, -832.94, -160.14]",[-526.10875],-3984.425250000001,-526.10875,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[39.5, 54.0, 20.6, 89.5, 54.0, 7.5, 37.0, 340.0, 36.0, 67.3]",0:00:00.125651
1,miyazaki94,CART,grid search,RepeatedHoldOut,10,0.9900014439028976,0.12592561199322005,161.543,189962.7039588889,435.8471107612036,18.529999999999998,13.0,"{'model__max_depth': 5, 'model__max_features': None}",-3218.6903849778555,"[-2006.3251555555555, -1128.476887755102, -133.0685111111111, -181.088828125, -1264.2352256944446, -32.50102040816329, -985.4817361111111, -23192.164569161, -1090.9050000000002, -100.78037037037035]","[-681.8542708333334, -11753.525, -2865.0918055555558, -1038.4063042534722, -1230.9897527777778, -9113.750575086806, -146.0215625, -4825.750114795918, -244.26071397569444, -287.25375]",-3011.502730429186,-3218.6903849778555,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[40.67, 40.67, 21.866666666666664, 89.5, 40.67, 8.233333333333333, 51.46666666666667, 212.0, 85.26666666666667, 85.26666666666667]",0:00:00.239286
1,miyazaki94,CART,grid search,Bootstrap,10,0.5120925312367834,0.0675165254804484,165.45687500000003,202656.75856336806,450.1741424864028,19.7,7.000000000000001,"{'model__max_depth': 1, 'model__max_features': 1}",-3961.7264205190386,"[-5272.602377777779, -9222.557691929702, -691.3124999999997, -479.8828444444443, -1424.1619392390007, -462.758611111111, -812.426000982772, -12228.237091319856, -5220.256133333332, -960.1323701942132]","[-834.6922916666667, -780.2558814767174, -4095.2246666666665, -4673.659833333334, -5156.4911262975775, -4356.226957142857, -3706.431210330579, -6890.844359196166, -829.7782142857142, -711.8752122790402, -4743.131592851591, -7509.003421897894, -5082.523806737932, -1518.1888052721085, -5492.431774789917, -1180.6385058593753, -701.2215490134009, -862.9961406270496, -969.013371428571, -1429.6715565167244, -7054.259709680474, -4443.392393441334, -1411.336192630854, -674.5452881763598, -1461.0749041203703, -1795.657, -1660.5286152179917, -2823.018820071214, -1772.8105188440397, -4030.418513532365, -1344.4931349206347, -7992.280879175744, -1564.0382914355484, -503.1985159362217, -8352.462224249699, -4758.869534741353, -988.137286923658, -2253.1545532905548, -3744.677675340137, -2678.901874411303, -2429.299662181714, -3385.990588235294, -1669.4147240332136, -4461.928078321678, -752.2259437037036, -4183.707235834911, -4638.702778525771, -4706.628586054423, -2802.0947562063334, -1498.9619246517652]",-3677.4327560332213,-3067.21020963117,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[167.53333333333333, 40.978125, 40.978125, 40.978125, 40.978125, 40.978125, 40.978125, 167.53333333333333, 40.978125, 40.978125]",0:00:01.045644
0,miyazaki94,CART,random search,,10,1.0,0.28227438111169867,140.49,155983.40499999997,394.9473445916556,12.45,28.000000000000004,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-3984.425250000001,"[-2356.65, -1231.535, -99.7975, -129.04500000000002, -4558.825, -26.827499999999993, -7236.41, -23212.0825, -832.94, -160.14]","[-2356.65, -1231.535, -99.7975, -129.04500000000002, -4558.825, -26.827499999999993, -7236.41, -23212.0825, -832.94, -160.14]",-3984.425250000001,-3984.425250000001,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[39.5, 54.0, 20.6, 89.5, 54.0, 7.5, 37.0, 340.0, 36.0, 67.3]",0:00:00.001999
1,miyazaki94,CART,random search,KFold,10,0.9332012670009097,0.28248328091480335,142.95000000000002,155938.00477777777,394.88986411121994,14.0,28.000000000000004,"{'model__max_depth': 4, 'model__max_features': 0.42939811886786894}",-3101.2188406550426,"[-4242.770655864197, -4070.56616875, -180.55734933837428, -652.6158333333334, -4405.880833333334, -100.00489795918362, -926.7794570000001, -14804.367438271605, -709.859601901504, -918.7861707988981]","[-4242.770655864197, -4070.56616875, -180.55734933837428, -652.6158333333334, -4405.880833333334, -100.00489795918362, -926.7794570000001, -14804.367438271605, -709.859601901504, -918.7861707988981]",-3101.2188406550426,-3101.2188406550426,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[45.63333333333333, 45.63333333333333, 45.63333333333333, 89.5, 45.63333333333333, 16.599999999999998, 45.63333333333333, 340.0, 45.63333333333333, 45.63333333333333]",0:00:00.260872
1,miyazaki94,CART,random search,RepeatedKFold,10,0.9332012670009097,0.28248328091480335,142.95000000000002,155938.00477777777,394.88986411121994,14.0,28.000000000000004,"{'model__max_depth': 4, 'model__max_features': 0.42939811886786894}",-3144.0390356878424,"[-4242.770655864197, -4070.56616875, -180.55734933837428, -652.6158333333334, -4405.880833333334, -100.00489795918362, -926.7794570000001, -14804.367438271605, -709.859601901504, -918.7861707988981]","[-2939.718402777778, -6516.307222222221, -611.3169270833334, -696.4915306122449, -1098.0847959183673, -294.12006657483937, -24114.346914062502, -4121.611375739645, -5045.71, -354.4148898071626, -3640.0955198487713, -4301.58, -4896.188737139484, -458.60827901701316, -1619.0849000000003, -693.9440816326528, -622.2950177915518, -1223.3329137345677, -4504.650904224537, -4168.7820833333335, -3989.2406250000004, -1810.9644140625, -478.37601172022676, -7554.642300347222, -461.73942263544535, -198.58435374149659, -5646.18101331361, -893.5976696280989, -751.7291840000001, -615.4315146666667]",-3101.2188406550426,-3144.0390356878424,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[45.63333333333333, 45.63333333333333, 45.63333333333333, 89.5, 45.63333333333333, 16.599999999999998, 45.63333333333333, 340.0, 45.63333333333333, 45.63333333333333]",0:00:00.776483
1,miyazaki94,CART,random search,HoldOut,10,0.9691736359385947,0.07119262765713974,164.5374761904762,201857.83078434243,449.28591206974477,14.601785714285715,7.000000000000001,"{'model__max_depth': 6, 'model__max_features': 0.44555916400773216}",-3626.3568749999995,"[-2543.940625, -20379.037968750003, -395.74410493827156, -416.61673611111104, -4469.590834911243, -95.59308367768597, -7289.2999333900225, -14816.1225, -1040.128148148148, -454.78453703703707]",[-3626.3568749999995],-5190.085847196352,-3626.3568749999995,"[58.9, 31.5, 20.1, 18.0, 59.5, 7.1, 37.0, 1586.0, 32.7, 31.5]","[45.67857142857143, 45.67857142857143, 21.975, 120.0, 45.67857142857143, 8.233333333333333, 21.975, 170.0, 66.16, 66.16]",0:00:00.053814
