Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,3,1.0,0.34267145656979336,1757.4375,5271453.6875,2295.9646529291344,1445.5,34.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-25148609.598412696,"[-22291817.095238097, -29964127.65, -23189884.05]","[-22291817.095238097, -29964127.65, -23189884.05]",-25148609.598412696,-25148609.598412696,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[1400.0, 8232.0, 2583.0, 7252.0, 3472.0, 1617.0, 3647.0, 2723.0, 2149.0, 2800.0, 2149.0, 14987.0, 1617.0, 8050.0, 3626.0, 3542.0]",0:00:00.002000
1,desharnais,CART,grid search,KFold,3,0.8690689464922488,-1.2697367001616078,2674.762152777778,18202179.134476274,4266.401192395797,1347.5,-127.0,"{'model__max_depth': 5, 'model__max_features': 1}",-16205190.306572257,"[-8049015.071428572, -6078484.784999999, -34488071.0632882]","[-8049015.071428572, -6078484.784999999, -34488071.0632882]",-16205190.306572257,-16205190.306572257,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[2352.0, 10139.888888888889, 2442.0, 3133.6666666666665, 1898.5555555555557, 1898.5555555555557, 3401.125, 1898.5555555555557, 1898.5555555555557, 5416.833333333333, 5416.833333333333, 23940.0, 3401.125, 10139.888888888889, 710.0, 5416.833333333333]",0:00:00.290257
1,desharnais,CART,grid search,RepeatedKFold,3,0.5796064062868345,0.4231582537745351,1581.7005681818182,4625988.907124082,2150.81122070815,1149.1348484848486,42.0,"{'model__max_depth': 2, 'model__max_features': 0.3}",-15527698.438875727,"[-9397028.336402748, -8352298.796798015, -33643014.912647925]","[-10127923.638868574, -17572764.993264437, -12401501.418869166, -13712825.057142857, -7829609.924586776, -22986005.239236623, -33605417.963370875, -15025345.535174225, -6487892.1793680275]",-17130780.681949563,-15527698.438875727,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[3210.6666666666665, 10582.133333333333, 1899.8636363636363, 4615.666666666667, 4615.666666666667, 1899.8636363636363, 1899.8636363636363, 1899.8636363636363, 4615.666666666667, 4615.666666666667, 4615.666666666667, 10582.133333333333, 1899.8636363636363, 10582.133333333333, 4615.666666666667, 4615.666666666667]",0:00:00.282362
1,desharnais,CART,grid search,HoldOut,3,0.8996531781185918,0.5225326638151997,1450.015476190476,3829054.7020181403,1956.7970518217112,1257.6666666666665,52.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-5988970.066025643,"[-35219619.751322754, -10680057.877, -37270052.488]",[-5988970.066025643],-27723243.372107584,-5988970.066025643,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[3486.0, 3486.0, 2468.285714285714, 3705.3333333333335, 2683.3333333333335, 2468.285714285714, 2468.285714285714, 2468.285714285714, 2683.3333333333335, 5632.2, 2683.3333333333335, 5880.0, 2468.285714285714, 8666.0, 2683.3333333333335, 5180.0]",0:00:00.052002
1,desharnais,CART,grid search,RepeatedHoldOut,3,0.8996531781185918,0.5225326638151997,1450.015476190476,3829054.7020181403,1956.7970518217112,1257.6666666666665,52.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-13955736.372808948,"[-35219619.751322754, -10680057.877, -37270052.488]","[-5988970.066025643, -14734512.325587608, -21143726.72681359]",-27723243.372107584,-13955736.372808948,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[3486.0, 3486.0, 2468.285714285714, 3705.3333333333335, 2683.3333333333335, 2468.285714285714, 2468.285714285714, 2468.285714285714, 2683.3333333333335, 5632.2, 2683.3333333333335, 5880.0, 2468.285714285714, 8666.0, 2683.3333333333335, 5180.0]",0:00:00.105400
1,desharnais,CART,grid search,Bootstrap,3,0.5796064062868345,0.4231582537745351,1581.7005681818182,4625988.907124082,2150.81122070815,1149.1348484848486,42.0,"{'model__max_depth': 2, 'model__max_features': 0.3}",-16594993.177436013,"[-9397028.336402748, -8352298.796798015, -33643014.912647925]","[-11620949.573836038, -11857347.787738098, -17621429.28341413, -27035113.643523496, -15349704.667563738, -16521000.644876799, -16879125.94765886, -16701085.93878462, -3720065.541744072, -15801959.0068438, -25002290.01493496, -24440526.663991768, -21667918.248580478, -30596591.553000893, -28827624.747317914, -14923583.056914888, -14285679.759178193, -6310871.040585678, -16487863.108695652, -13888915.50650272, -7160631.235119048, -10445535.594378123, -15334491.123678997, -31346435.950957276, -14694059.607123196, -26308707.95750303, -15228157.597069884, -15721288.833900638, -3322929.9963362506, -19887070.525001, -19868437.53092019, -13310181.164588846, -12588099.059186911, -11643275.987201646, -12817888.253969878, -19325800.767943647, -13998581.558279805, -9629348.290595237, -13661887.655437777, -9055683.669833532, -12553618.166689191, -20646011.426609177, -12017039.50201393, -12753705.97516358, -25089173.381448414, -16119145.684520578, -16524083.794929022, -66710603.37709396, -14084922.668605873, -15815796.202769838]",-17130780.681949563,-17144044.765491106,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[3210.6666666666665, 10582.133333333333, 1899.8636363636363, 4615.666666666667, 4615.666666666667, 1899.8636363636363, 1899.8636363636363, 1899.8636363636363, 4615.666666666667, 4615.666666666667, 4615.666666666667, 10582.133333333333, 1899.8636363636363, 10582.133333333333, 4615.666666666667, 4615.666666666667]",0:00:01.151608
0,desharnais,CART,random search,,3,1.0,0.34267145656979336,1757.4375,5271453.6875,2295.9646529291344,1445.5,34.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-25148609.598412696,"[-22291817.095238097, -29964127.65, -23189884.05]","[-22291817.095238097, -29964127.65, -23189884.05]",-25148609.598412696,-25148609.598412696,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[1400.0, 8232.0, 2583.0, 7252.0, 3472.0, 1617.0, 3647.0, 2723.0, 2149.0, 2800.0, 2149.0, 14987.0, 1617.0, 8050.0, 3626.0, 3542.0]",0:00:00.002037
1,desharnais,CART,random search,KFold,3,1.0,0.28247324355865,1791.5625,5754213.9375,2398.7942674393735,1428.0,28.000000000000004,"{'model__max_depth': 17, 'model__max_features': 0.48114598712001183}",-14789297.377777778,"[-17558949.333333332, -6328869.15, -20480073.65]","[-17558949.333333332, -6328869.15, -20480073.65]",-14789297.377777778,-14789297.377777778,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[1400.0, 10577.0, 2583.0, 6405.0, 3983.0, 1617.0, 847.0, 3983.0, 2149.0, 3913.0, 5152.0, 13860.0, 1876.0, 13860.0, 3472.0, 3983.0]",0:00:00.119088
1,desharnais,CART,random search,RepeatedKFold,3,0.6487956860110184,0.18253358573948708,1758.8083333333334,6555681.153557766,2560.4064430394183,1011.8602941176468,18.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-16871727.578838125,"[-17794128.326869804, -20177533.755917158, -33187934.676647924]","[-9199385.268896557, -23090100.525333334, -22907971.954657838, -13533669.748148149, -7816048.668388429, -23260091.57770083, -33789823.71500486, -13503483.326413125, -4744973.425]",-23719865.586478293,-16871727.578838125,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[8495.529411764706, 8495.529411764706, 2276.75, 4998.466666666666, 2276.75, 2276.75, 2276.75, 2276.75, 2276.75, 4998.466666666666, 4998.466666666666, 8495.529411764706, 2276.75, 8495.529411764706, 2276.75, 4998.466666666666]",0:00:00.294094
1,desharnais,CART,random search,HoldOut,3,1.0,-2.5415675322465914,3477.5,28401640.875,5329.318987919563,1556.0,-254.0,"{'model__max_depth': 28, 'model__max_features': 0.5564532903055841}",-11159834.307692308,"[-29252360.42857143, -4356276.85, -28842663.95]",[-11159834.307692308],-20817100.40952381,-11159834.307692308,"[1435.0, 4494.0, 3276.0, 4977.0, 3927.0, 3136.0, 2275.0, 2520.0, 2821.0, 595.0, 4004.0, 9520.0, 1155.0, 11361.0, 2926.0, 6699.0]","[14434.0, 14987.0, 3472.0, 5635.0, 3472.0, 1876.0, 710.0, 2548.0, 2548.0, 9051.0, 7854.0, 1400.0, 2723.0, 14987.0, 3472.0, 5152.0]",0:00:00.055278
