Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,target_values,predicted_target_values,time_tuning
1,kitchenham,CART,random search,RepeatedHoldOut,3,0.36538882529577865,0.10789209246077347,1320.1488877138647,2784264.194780251,1668.6114571044545,1269.6746987951806,11.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-7312093.375411858,-100469885.41337769,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 3338.9545454545455, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 1602.8, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806]",0:00:00.280312
1,kitchenham,CART,random search,Bootstrap,3,0.9436323132238523,0.0002588341086396939,1363.0944569324217,3120187.0409570197,1766.405118017104,1246.8349514563106,0.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-109973579.64153394,-117824706.12366758,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 3199.5714285714284, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894, 2308.1650485436894]",0:00:03.386651
0,kitchenham,CART,bayes search,,3,1.0,-2.3229035038195645,1918.2758620689656,10370764.75862069,3220.367177608897,1044.0,-231.99999999999997,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-128439115.92626838,-128439115.92626838,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[302.0, 1940.0, 380.0, 1388.0, 583.0, 5927.0, 1388.0, 1388.0, 763.0, 3319.0, 693.0, 2393.0, 1832.0, 726.0, 988.0, 437.0, 892.0, 570.0, 6607.0, 4824.0, 570.0, 1940.0, 1328.0, 15673.0, 1388.0, 980.0, 1388.0, 2224.0, 1940.0]",0:00:00.004010
1,kitchenham,CART,bayes search,KFold,3,1.0,-0.7659104749975609,1692.4137931034484,5511397.517241379,2347.6365811686824,1134.0,-77.0,"OrderedDict([('model__max_depth', 25), ('model__max_features', 0.4203100929775925)])",-105335565.38430536,-105335565.38430536,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[322.0, 302.0, 3319.0, 1388.0, 583.0, 322.0, 1428.0, 302.0, 726.0, 570.0, 693.0, 1884.0, 1884.0, 437.0, 322.0, 726.0, 5456.0, 2037.0, 6607.0, 8600.0, 5094.0, 302.0, 1328.0, 1660.0, 5094.0, 302.0, 302.0, 1143.0, 1884.0]",0:00:49.791792
1,kitchenham,CART,bayes search,RepeatedKFold,3,1.0,-0.9639543879274588,1760.9310344827586,6129491.551724138,2475.7809983365123,1602.0,-96.0,"OrderedDict([('model__max_depth', 25), ('model__max_features', 0.9183206941666036)])",-108906936.51461989,-127011455.07207207,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[750.0, 570.0, 580.0, 1252.0, 955.0, 3504.0, 1388.0, 3088.0, 7649.0, 313.0, 693.0, 2393.0, 3088.0, 219.0, 750.0, 2860.0, 1650.0, 570.0, 5646.0, 763.0, 570.0, 570.0, 2480.0, 1455.0, 3088.0, 313.0, 5456.0, 1143.0, 570.0]",0:00:54.213128
1,kitchenham,CART,bayes search,HoldOut,3,1.0,-0.4963344419386977,1605.6206896551723,4670052.1034482755,2161.0303337640303,1589.0,-50.0,"OrderedDict([('model__max_depth', 24), ('model__max_features', 0.6066204305086463)])",-12334760.347826088,-212231473.48743483,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[630.0, 583.0, 3319.0, 1388.0, 1660.0, 3088.0, 339.0, 2972.0, 763.0, 1040.0, 1016.0, 1884.0, 1016.0, 2591.0, 322.0, 437.0, 1860.0, 570.0, 5646.0, 3483.0, 1660.0, 5456.0, 1328.0, 1079.0, 583.0, 2972.0, 583.0, 1143.0, 583.0]",0:00:21.720545
1,kitchenham,CART,bayes search,RepeatedHoldOut,3,1.0,-0.7659104749975609,1692.4137931034484,5511397.517241379,2347.6365811686824,1134.0,-77.0,"OrderedDict([('model__max_depth', 25), ('model__max_features', 0.4203100929775925)])",-9315209.11594203,-105335565.38430536,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[322.0, 302.0, 3319.0, 1388.0, 583.0, 322.0, 1428.0, 302.0, 726.0, 570.0, 693.0, 1884.0, 1884.0, 437.0, 322.0, 726.0, 5456.0, 2037.0, 6607.0, 8600.0, 5094.0, 302.0, 1328.0, 1660.0, 5094.0, 302.0, 302.0, 1143.0, 1884.0]",0:00:23.293905
1,kitchenham,CART,bayes search,Bootstrap,3,0.12129155357066446,-1.7742038273931922,1810.3431444991788,8658275.888327515,2942.4948408327778,1387.5047619047618,-177.0,"OrderedDict([('model__max_depth', 1), ('model__max_features', 0.9140809116177824)])",-93267713.03990999,-107968264.7929076,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 17040.875, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762]",0:00:25.579423
0,kitchenham,CART,OPTUNA,,3,1.0,-2.3229035038195645,1918.2758620689656,10370764.75862069,3220.367177608897,1044.0,-231.99999999999997,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-128439115.92626838,-128439115.92626838,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[302.0, 1940.0, 380.0, 1388.0, 583.0, 5927.0, 1388.0, 1388.0, 763.0, 3319.0, 693.0, 2393.0, 1832.0, 726.0, 988.0, 437.0, 892.0, 570.0, 6607.0, 4824.0, 570.0, 1940.0, 1328.0, 15673.0, 1388.0, 980.0, 1388.0, 2224.0, 1940.0]",0:00:00.002999
1,kitchenham,CART,OPTUNA,KFold,3,0.36538882529577865,0.10789209246077347,1320.1488877138647,2784264.194780251,1668.6114571044545,1269.6746987951806,11.0,"{'max_depth': 2, 'max_features': 0.49720629204784217}",-100469885.41337769,-100469885.41337769,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 3338.9545454545455, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 1602.8, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806]",0:00:01.386965
