Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,5,1.0,0.2132615804627559,1951.4375,9792150.9375,3129.241271858084,843.5,21.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-14321765.070512822,"[-30449889.769230768, -12596517.083333334, -8591937.666666666, -15716623.416666666, -4253857.416666667]","[-30449889.769230768, -12596517.083333334, -8591937.666666666, -15716623.416666666, -4253857.416666667]",-14321765.070512822,-14321765.070512822,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[4620.0, 3626.0, 2569.0, 3647.0, 2723.0, 805.0, 3626.0, 2569.0, 3948.0, 2821.0, 13860.0, 1575.0, 2723.0, 4004.0, 3913.0, 2800.0]",0:00:00.003001
1,desharnais,CART,grid search,KFold,5,0.9012605444989982,0.2530015551037835,1838.258823529412,9297526.777456747,3049.1846086219093,934.8235294117646,25.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-12474418.873392776,"[-24379524.324210107, -22037068.435994502, -4815054.643518519, -3879320.308703704, -7261126.654537037]","[-24379524.324210107, -22037068.435994502, -4815054.643518519, -3879320.308703704, -7261126.654537037]",-12474418.873392776,-12474418.873392776,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[4065.3529411764707, 3190.6, 3190.6, 1625.0, 1625.0, 1625.0, 3190.6, 1625.0, 4065.3529411764707, 3190.6, 11449.0, 3465.0, 1625.0, 4065.3529411764707, 4065.3529411764707, 4065.3529411764707]",0:00:00.267327
1,desharnais,CART,grid search,RepeatedKFold,5,1.0,0.2132615804627559,1951.4375,9792150.9375,3129.241271858084,843.5,21.0,"{'model__max_depth': None, 'model__max_features': None}",-14322368.705555556,"[-30449889.769230768, -12596517.083333334, -8591937.666666666, -15716623.416666666, -4253857.416666667]","[-30597013.46153846, -8526102.083333334, -6302919.0, -18653691.583333332, -2726845.5, -17752353.230769232, -9476191.666666666, -12417351.333333334, -22698176.083333332, -5473500.25, -23016464.307692308, -16618795.083333334, -15841472.833333334, -22029121.916666668, -2705532.25]",-14321765.070512822,-14322368.705555556,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[4620.0, 3626.0, 2569.0, 3647.0, 2723.0, 805.0, 3626.0, 2569.0, 3948.0, 2821.0, 13860.0, 1575.0, 2723.0, 4004.0, 3913.0, 2800.0]",0:00:00.369997
1,desharnais,CART,grid search,HoldOut,5,0.6803637067090923,-0.07427886678515128,2364.420833333333,13371027.20712963,3656.6415201834634,1166.3444444444444,-7.000000000000001,"{'model__max_depth': 2, 'model__max_features': None}",-22401314.63869899,"[-27579376.305560645, -24918967.577331483, -8571869.857060185, -8099269.707523388, -7569724.758972231]",[-22401314.63869899],-15347841.641289586,-22401314.63869899,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 15264.2, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444]",0:00:00.051339
1,desharnais,CART,grid search,RepeatedHoldOut,5,0.9993583177552509,0.07215252865338906,2096.633333333333,11548466.759444444,3398.303511966588,1086.1666666666667,7.000000000000001,"{'model__max_depth': 10, 'model__max_features': 0.3}",-21813815.023076925,"[-47816755.15384615, -16873944.48148148, -19771981.833333332, -11626459.416666666, -5859726.416666667]","[-27695410.615384616, -19025776.53846154, -12037256.692307692, -7868467.115384615, -42442164.15384615]",-20389773.46039886,-21813815.023076925,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[4620.0, 3647.0, 2760.3333333333335, 2422.0, 1603.0, 805.0, 3647.0, 2548.0, 2429.0, 3913.0, 9100.0, 3192.0, 805.0, 4041.8, 1435.0, 3948.0]",0:00:00.153825
1,desharnais,CART,grid search,Bootstrap,5,0.6803637067090923,-0.07427886678515128,2364.420833333333,13371027.20712963,3656.6415201834634,1166.3444444444444,-7.000000000000001,"{'model__max_depth': 2, 'model__max_features': None}",-16744957.857059095,"[-27579376.305560645, -24918967.577331483, -8571869.857060185, -8099269.707523388, -7569724.758972231]","[-11952946.80482069, -8924576.41915838, -11133764.802804321, -7225607.766521739, -11085439.318742737, -18288257.59918793, -19722944.62056111, -12761805.155401234, -14084392.264378538, -16770968.714540182, -30569367.453694075, -33841662.09619217, -25040862.29992937, -31089957.876077447, -9515713.335944198, -22758663.669495326, -10316811.456237843, -7940302.729640039, -9921843.647499714, -11449758.419233382, -9555736.449223934, -14844526.647218283, -12045722.84328236, -15989847.251387456, -10349068.269824168, -7604571.646537398, -12996433.131978583, -8054218.97348986, -11570838.156728117, -13754453.78498799, -14356336.779074118, -10674335.603405233, -13920971.858251696, -11379636.79776853, -15798529.618745282, -13345089.852092797, -28905663.54432671, -22976434.376276296, -19377365.5983744, -23986565.502888102, -16477441.836685078, -12598382.494633371, -14731268.831726272, -25383154.872201227, -11827366.437024374, -11993205.988203207, -22576782.533048075, -27934237.86237584, -32186313.75631313, -7301494.2938817255]",-15347841.641289586,-15977832.84084028,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 15264.2, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444]",0:00:01.167386
0,desharnais,CART,random search,,5,1.0,0.2132615804627559,1951.4375,9792150.9375,3129.241271858084,843.5,21.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-14321765.070512822,"[-30449889.769230768, -12596517.083333334, -8591937.666666666, -15716623.416666666, -4253857.416666667]","[-30449889.769230768, -12596517.083333334, -8591937.666666666, -15716623.416666666, -4253857.416666667]",-14321765.070512822,-14321765.070512822,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[4620.0, 3626.0, 2569.0, 3647.0, 2723.0, 805.0, 3626.0, 2569.0, 3948.0, 2821.0, 13860.0, 1575.0, 2723.0, 4004.0, 3913.0, 2800.0]",0:00:00.002000
1,desharnais,CART,random search,KFold,5,0.9570763488379184,0.33024718927750984,1876.3406250000003,8336087.892170139,2887.228410114125,930.2416666666666,33.0,"{'model__max_depth': 6, 'model__max_features': 0.44555916400773216}",-11506392.087300297,"[-22940887.222222224, -14040284.3125, -3288565.847993828, -9616151.874965984, -7646071.178819445]","[-22940887.222222224, -14040284.3125, -3288565.847993828, -9616151.874965984, -7646071.178819445]",-11506392.087300297,-11506392.087300297,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[14980.0, 5817.0, 2496.0833333333335, 2496.0833333333335, 2496.0833333333335, 675.5, 5817.0, 2496.0833333333335, 4523.4, 3647.0, 14980.0, 675.5, 2496.0833333333335, 4523.4, 4523.4, 4523.4]",0:00:00.245034
1,desharnais,CART,random search,RepeatedKFold,5,0.981472873538802,0.3707071333027181,1781.4140625000002,7832502.6229383685,2798.660862437314,1066.625,37.0,"{'model__max_depth': 7, 'model__max_features': 0.8575800908021629}",-12566317.100625733,"[-36754128.0, -10285205.2734375, -8857291.3275, -9642496.892103909, -9600216.791666666]","[-30011067.519230768, -9717159.375, -6679338.145833333, -10413304.416666666, -2170236.141203704, -21193586.31324786, -6493182.9375, -14120267.057870371, -23114856.31712963, -6017006.851822916, -13401213.538461538, -5695465.256666667, -14358496.516460905, -17209282.731666666, -7900293.390625]",-15027867.656941617,-12566317.100625733,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[13860.0, 4309.666666666667, 2813.125, 2813.125, 2813.125, 805.0, 4309.666666666667, 2813.125, 3619.0, 4309.666666666667, 13860.0, 1575.0, 2813.125, 4309.666666666667, 5406.333333333333, 3619.0]",0:00:00.397324
1,desharnais,CART,random search,HoldOut,5,1.0,0.27864547909297865,1966.8125,8978349.3125,2996.389379319717,1081.5,28.000000000000004,"{'model__max_depth': 15, 'model__max_features': 0.8123957592679836}",-26745168.307692308,"[-57355194.23076923, -12552015.75, -13955085.666666666, -12203539.833333334, -8001977.666666667]",[-26745168.307692308],-20813562.62948718,-26745168.307692308,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[14973.0, 3927.0, 2989.0, 2548.0, 2520.0, 1267.0, 3647.0, 2548.0, 3948.0, 3927.0, 14973.0, 3192.0, 1603.0, 3983.0, 2429.0, 3829.0]",0:00:00.053046
1,desharnais,CART,random search,RepeatedHoldOut,5,1.0,0.11359841058712283,2137.0,11032610.0,3321.537294687507,1225.0,11.0,"{'model__max_depth': 28, 'model__max_features': 0.5564532903055841}",-19077167.73846154,"[-47541115.07692308, -11206460.583333334, -8712163.25, -12894288.75, -7605359.583333333]","[-31421796.53846154, -16166965.76923077, -12208440.461538462, -4974404.615384615, -30614231.307692308]",-17591877.448717948,-19077167.73846154,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[3626.0, 3927.0, 2569.0, 2422.0, 3276.0, 805.0, 3948.0, 1603.0, 3948.0, 3927.0, 13860.0, 2548.0, 1603.0, 3983.0, 2800.0, 6405.0]",0:00:00.155263
