Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,5,1.0,0.7091217445270621,5066.7692307692305,77875812.92307693,8824.727356869273,2595.0,71.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-41332179.25333333,"[-90568339.9, -17386464.1, -8003251.6, -32546015.0, -58156825.666666664]","[-90568339.9, -17386464.1, -8003251.6, -32546015.0, -58156825.666666664]",-41332179.25333333,-41332179.25333333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5100.0, 11039.0, 8752.0, 9700.0, 5100.0, 796.0, 10447.0, 845.0, 37286.0, 1745.0, 8752.0, 1520.0, 8752.0]",0:00:00.003049
1,maxwell,CART,grid search,KFold,5,0.9999966901840842,0.6448327830245706,6038.153846153846,95087670.61538461,9751.290715355819,2661.0,64.0,"{'model__max_depth': 10, 'model__max_features': None}",-39530730.49833333,"[-90568339.9, -7613138.625, -8769333.3, -32546015.0, -58156825.666666664]","[-90568339.9, -7613138.625, -8769333.3, -32546015.0, -58156825.666666664]",-39530730.49833333,-39530730.49833333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5279.0, 11039.0, 8752.0, 21272.0, 5279.0, 847.0, 9700.0, 847.0, 37286.0, 1745.0, 9369.0, 1520.0, 9369.0]",0:00:02.071186
1,maxwell,CART,grid search,RepeatedKFold,5,1.0,0.7091217445270621,5066.7692307692305,77875812.92307693,8824.727356869273,2595.0,71.0,"{'model__max_depth': None, 'model__max_features': None}",-46536413.9111111,"[-90568339.9, -17386464.1, -8003251.6, -32546015.0, -58156825.666666664]","[-29899022.8, -129012896.2, -6267683.5, -11224278.5, -75651426.22222222, -34084548.5, -28259321.9, -57244500.3, -40891672.9, -36154091.55555555, -43194730.9, -52772354.2, -16737923.8, -20012184.5, -116639572.8888889]",-41332179.25333333,-46536413.9111111,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5100.0, 11039.0, 8752.0, 9700.0, 5100.0, 796.0, 10447.0, 845.0, 37286.0, 1745.0, 8752.0, 1520.0, 8752.0]",0:00:00.337568
1,maxwell,CART,grid search,HoldOut,5,0.6237512358992627,0.5435916336381296,6732.264214046823,122192607.68576415,11054.076518903066,2908.217391304348,54.0,"{'model__max_depth': 1, 'model__max_features': None}",-17266019.380864196,"[-134354144.0166205, -11082120.85, -20607891.332253084, -9835783.917438272, -55690259.1409891]",[-17266019.380864196],-46314039.85146019,-17266019.380864196,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 31755.0, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348]",0:00:00.051098
1,maxwell,CART,grid search,RepeatedHoldOut,5,0.6237512358992627,0.5435916336381296,6732.264214046823,122192607.68576415,11054.076518903066,2908.217391304348,54.0,"{'model__max_depth': 1, 'model__max_features': None}",-20021806.041913576,"[-134354144.0166205, -11082120.85, -20607891.332253084, -9835783.917438272, -55690259.1409891]","[-17266019.380864196, -10812338.777777778, -29602995.54706789, -35145997.328549385, -7281679.175308642]",-46314039.85146019,-20021806.041913576,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348, 31755.0, 5734.217391304348, 5734.217391304348, 5734.217391304348, 5734.217391304348]",0:00:00.149922
1,maxwell,CART,grid search,Bootstrap,5,0.44190493088427285,-0.31757603935737433,10863.582551594745,352750001.8387235,18781.640019942974,3252.9268292682927,-32.0,"{'model__max_depth': 1, 'model__max_features': 'log2'}",-50531967.56613469,"[-59556906.53351698, -11014419.381061394, -47648663.02392102, -45687726.722222224, -78806173.70772994]","[-42759611.86296102, -34226261.76913265, -42458746.864104494, -45024882.94353719, -35678790.87647691, -47167477.06475666, -20070139.49706501, -86596796.441057, -24616644.851780783, -26932769.854589205, -58203944.746180154, -38355967.16248622, -36944066.09195559, -34224642.12012585, -42644855.21245833, -26929235.98979592, -75784630.95638256, -14704256.218236329, -53396559.96441408, -233472017.87051043, -59012215.73389401, -62729874.638396636, -34977432.22358943, -43325618.87057099, -96057637.41673751, -55085818.981065765, -55266099.8636788, -82484109.45280612, -91267672.72443697, -82113728.38588235, -31982512.437313605, -71021529.01298621, -54977950.67521105, -50810412.75521245, -36412504.54900826, -17407334.10123967, -15508565.472057857, -37260040.126159556, -107793950.56837131, -57392201.23128824, -30365049.17174383, -31321599.734173603, -33965969.362306565, -40857830.380204074, -82893549.7612434, -47369943.55429752, -38451151.58088888, -35007854.446863174, -70422892.56169648, -29942083.676693093]",-48542777.87369031,-52073548.63616048,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5007.926829268293, 5007.926829268293, 5007.926829268293, 5007.926829268293, 5007.926829268293, 5007.926829268293, 5007.926829268293, 19214.25, 5007.926829268293, 19214.25, 5007.926829268293, 5007.926829268293, 5007.926829268293]",0:00:01.062419
0,maxwell,CART,random search,,5,1.0,0.7091217445270621,5066.7692307692305,77875812.92307693,8824.727356869273,2595.0,71.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-41332179.25333333,"[-90568339.9, -17386464.1, -8003251.6, -32546015.0, -58156825.666666664]","[-90568339.9, -17386464.1, -8003251.6, -32546015.0, -58156825.666666664]",-41332179.25333333,-41332179.25333333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5100.0, 11039.0, 8752.0, 9700.0, 5100.0, 796.0, 10447.0, 845.0, 37286.0, 1745.0, 8752.0, 1520.0, 8752.0]",0:00:00.002000
1,maxwell,CART,random search,KFold,5,1.0,0.3021349001870798,7021.307692307692,186836970.23076922,13668.83207266697,2555.0,30.0,"{'model__max_depth': 21, 'model__max_features': 0.978936896513396}",-38220245.07333334,"[-70789170.6, -17594715.2, -41279254.6, -10486181.3, -50951903.666666664]","[-70789170.6, -17594715.2, -41279254.6, -10486181.3, -50951903.666666664]",-38220245.07333334,-38220245.07333334,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5100.0, 11039.0, 8752.0, 21272.0, 5100.0, 1520.0, 15052.0, 1450.0, 18500.0, 1745.0, 8752.0, 1745.0, 8752.0]",0:00:00.197301
1,maxwell,CART,random search,RepeatedKFold,5,0.8353218656961614,-0.076600659612591,8724.775263951733,288234510.42957586,16977.470672322655,3244.4705882352937,-8.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-47442751.677235,"[-21185468.608942505, -7798456.907633118, -76195069.29800001, -16690714.634722224, -99058092.29757369]","[-76104559.89128086, -174331885.63003525, -6027744.288954634, -22269042.760500003, -12859789.960987655, -15568120.64522161, -10393317.110502958, -82278845.78724489, -23053503.270260353, -71293644.76034845, -15040128.324057326, -12386814.635079207, -12365623.498013474, -75840121.24997027, -101828133.34606801]",-44185560.34937431,-47442751.677235,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3045.4166666666665, 7778.529411764706, 7778.529411764706, 7778.529411764706, 3045.4166666666665, 3045.4166666666665, 7778.529411764706, 12824.833333333334, 7778.529411764706, 12824.833333333334, 7778.529411764706, 3045.4166666666665, 7778.529411764706]",0:00:00.365430
1,maxwell,CART,random search,HoldOut,5,1.0,0.02216009917671702,8562.538461538461,261793639.6153846,16180.038306981372,2780.0,2.0,"{'model__max_depth': 16, 'model__max_features': 0.5285785381640847}",-7493215.5,"[-75274898.7, -16377069.5, -168864817.2, -17511502.2, -45756126.44444445]",[-7493215.5],-64756882.80888889,-7493215.5,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3600.0, 3850.0, 5931.0, 8117.0, 1651.0, 1450.0, 5931.0, 7451.0, 11039.0, 10447.0, 8752.0, 1520.0, 8752.0]",0:00:00.054576
