Tuned?,Dataset,Regressor,Hyper-param-method,Validation-method,n-splits,score-train,score-test,MAE,MSE,RMSE,R2,best-params, cross_val_score,target-values,predicted-target-values
1,maxwell,CART,random search,RepeatedHoldOut,3,1.0,-0.5342715669359714,11055.923076923076,410765133.7692308,20267.341556534513,-53.0,"{'model__max_depth': 15, 'model__max_features': 0.8123957592679836}","[-19435205.4, -20854887.8, -21798637.5]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5279.0, 4557.0, 3600.0, 11039.0]"
1,maxwell,CART,random search,Bootstrap,3,0.30958195874886285,-0.10871639971416047,8770.07525083612,296832744.64261305,17228.8346861479,-11.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}","[-127489634.41813329, -61431163.87741046, -81927086.42662421, -15037810.313743241, -32827556.59517974, -78015612.49743961, -66353496.7242647, -24399935.18516, -85350156.1857953, -39776844.21768706, -110789485.49393265, -104800765.31217247, -99528260.0937264, -102281155.19131164, -109753963.19734567, -42398217.719188355, -17682545.442771994, -81465590.24966048, -30548509.179773238, -86458389.57374918, -17085679.94880469, -33037300.457259342, -39295976.20976307, -82798808.55477324, -18563139.801920768, -30582490.83234362, -25100081.143346902, -81880063.86710069, -71248051.04378551, -21857206.145894356, -70489317.3811333, -114264526.31429395, -93722218.22350715, -57422233.225206606, -39928435.11067043, -62004676.67289935, -83298205.29782245, -71416013.32009038, -11503435.877481729, -63070773.54004501, -25656818.88682662, -67195471.87950617, -59214945.790805906, -90755739.22102094, -81309300.94509637, -37368395.62046602, -93733864.96805556, -76557895.61997359, -41746468.363484986, -117772562.03127919]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565]"
0,maxwell,CART,bayes search,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-48311458.0, -57249438.875, -101394331.1875]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]"
1,maxwell,CART,bayes search,KFold,3,1.0,-0.0673881244402248,9292.461538461539,285768070.7692308,16904.67600308361,-7.000000000000001,"OrderedDict([('model__max_depth', 24), ('model__max_features', 0.6066204305086463)])","[-48414219.11764706, -31590124.0625, -105929588.875]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10000.0, 3850.0, 3440.0, 7184.0, 10000.0, 1745.0, 14000.0, 8117.0, 7320.0, 5787.0, 14000.0, 1520.0, 8117.0]"
1,maxwell,CART,bayes search,RepeatedKFold,3,1.0,-0.5342715669359714,11055.923076923076,410765133.7692308,20267.341556534513,-53.0,"OrderedDict([('model__max_depth', 22), ('model__max_features', 0.9460819923791102)])","[-97184938.11764705, -89088409.875, -113357899.8125, -80124869.0, -45326300.625, -93799135.0, -75319043.47058824, -60176534.6875, -51928429.875]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5279.0, 4557.0, 3600.0, 11039.0]"
1,maxwell,CART,bayes search,HoldOut,3,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,-21.0,"OrderedDict([('model__max_depth', 25), ('model__max_features', 0.4203100929775925)])",[-16096419.3],"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]"
1,maxwell,CART,bayes search,RepeatedHoldOut,3,1.0,-0.5342715669359714,11055.923076923076,410765133.7692308,20267.341556534513,-53.0,"OrderedDict([('model__max_depth', 13), ('model__max_features', 0.8094080202241276)])","[-19435205.4, -20854887.8, -21798637.5]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5279.0, 4557.0, 3600.0, 11039.0]"
1,maxwell,CART,bayes search,Bootstrap,3,0.30958195874886285,-0.10871639971416047,8770.07525083612,296832744.64261305,17228.8346861479,-11.0,"OrderedDict([('model__max_depth', 1), ('model__max_features', 0.8748846540441622)])","[-85918152.88417968, -23430419.034530558, -83501954.39361288, -36853020.76381498, -37893482.08385598, -39907767.48864346, -116249547.8330676, -78900177.6869355, -65243209.09138168, -46618574.79551395, -31838192.117134765, -29948364.16753308, -28968878.007002547, -85636368.68401991, -11338164.64403399, -80870348.69618057, -102809708.45138234, -30331345.016552027, -26867172.40658982, -76483256.70588236, -72302140.56834798, -116155778.71244895, -93429903.01497933, -40761516.36989213, -83524720.18368037, -154116696.5356692, -38334523.43406328, -33465034.054016624, -38380396.213276975, -74827046.64126718, -89804359.06822726, -48130891.46902753, -100607642.91248916, -58093308.722628206, -115665314.36463584, -74799070.89517088, -29157361.76026304, -18669154.754911724, -61451482.29923739, -150227648.0114229, -40086634.48679594, -82775429.27220619, -41217508.36317356, -66158120.350240104, -43128921.58119043, -80907963.77563615, -35324145.5642082, -58949338.010428466, -42291597.24030053, -31048618.84014644]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565]"
0,maxwell,CART,OPTUNA,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-48311458.0, -57249438.875, -101394331.1875]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]"
1,maxwell,CART,OPTUNA,KFold,3,0.5305648332875907,-0.2899635013886406,10535.205917159761,345357394.10430133,18583.79385659186,-28.999999999999996,"{'max_depth': 2, 'max_features': 0.43684714952479375}","[-34709802.365232386, -26868961.148858685, -84436644.76475695]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10811.538461538461, 8256.2, 39479.0, 8256.2, 10811.538461538461, 2758.35, 10811.538461538461, 2758.35, 8256.2, 10811.538461538461, 2758.35, 2758.35, 8256.2]"
1,maxwell,CART,OPTUNA,RepeatedKFold,3,0.4977648717105376,-0.13917064542602997,8715.533094812165,304986152.80272084,17463.852747968325,-14.000000000000002,"{'max_depth': 2, 'max_features': 0.6831299265420957}","[-106209313.23703022, -36173961.59742187, -22961400.65065972, -128512783.67108619, -16477357.218683425, -79492063.29771107, -144264275.65787557, -94026296.931213, -12489598.900634766]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139]"
1,maxwell,CART,OPTUNA,HoldOut,3,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,-21.0,"{'max_depth': 17, 'max_features': 0.3200559761169189}",[-16096419.3],"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]"
1,maxwell,CART,OPTUNA,RepeatedHoldOut,3,1.0,-0.5342715669359714,11055.923076923076,410765133.7692308,20267.341556534513,-53.0,"{'max_depth': 13, 'max_features': 0.8042271454095107}","[-19435205.4, -20854887.8, -21798637.5]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5279.0, 4557.0, 3600.0, 11039.0]"
1,maxwell,CART,OPTUNA,Bootstrap,3,0.19619615605459917,-0.15377229405676007,10049.357142857143,308895400.86695445,17575.420361031323,-15.0,"{'max_depth': 1, 'max_features': 0.30440697209885587}","[-35767619.09437261, -60363076.38948962, -112647392.21579084, -122939912.06242396, -63097450.416666664, -88469361.24538457, -43072821.5340953, -46656629.735663675, -13771497.917904885, -73307615.2137395, -104042136.16102622, -110370031.61021976, -35885634.913870804, -46125271.09221226, -25814603.078466877, -45918728.915398054, -83990822.34886754, -87639873.8888889, -91957897.42796338, -54043259.559140906, -159112118.0505973, -100122537.45521607, -80399079.95043732, -80308265.28505555, -39309714.92322643, -81421576.15309528, -41988353.95188817, -23855462.063276492, -34494648.587749146, -21075724.540915504, -13972363.364479717, -67786912.30662212, -80381879.63489228, -65473129.13069309, -85822234.24247684, -85678356.12352209, -43909775.024621844, -29092771.648541663, -39172083.031875856, -77169569.85209222, -110311398.72446154, -69327594.23439234, -55763204.8651126, -74896098.38639948, -16111040.027777778, -101028457.34430334, -20473923.97835104, -16373506.518356398, -47788120.09935777, -44917399.00370812]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 5114.571428571428]"
0,maxwell,CART,SA,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-48311458.0, -57249438.875, -101394331.1875]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]"
1,maxwell,CART,SA,KFold,3,0.9999880770084368,-0.42475665835291787,10779.307692307691,381445092.2307692,19530.619350926103,-42.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 9, 'max_features': 0.4252237730358237, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-134063996.10294117, -21319390.9375, -126225905.75]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 15052.0, 9700.0, 5787.0, 14000.0, 1981.0, 3850.0, 5931.0, 3600.0, 3600.0, 9369.0]"
1,maxwell,CART,SA,RepeatedKFold,3,1.0,-0.5342715669359714,11055.923076923076,410765133.7692308,20267.341556534513,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 13, 'max_features': 0.8924130754399493, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-123746937.8235294, -159559618.4375, -75591673.875, -117887430.58823529, -134709076.625, -59743456.875, -155330427.4117647, -87455802.25, -89758659.5625]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5279.0, 4557.0, 3600.0, 11039.0]"
1,maxwell,CART,SA,HoldOut,3,0.9873702277260623,-0.5067974628869123,10554.384615384615,403409588.46153843,20085.05883639723,-51.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 8, 'max_features': 0.8956624519886727, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",[-301252466.0888889],"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5515.5, 6742.5, 39479.0, 796.0, 7307.5, 1032.0, 14000.0, 5787.0, 796.0, 3240.0, 4557.0, 2042.5, 10204.0]"
1,maxwell,CART,SA,RepeatedHoldOut,3,0.9873702277260623,-0.5067974628869123,10554.384615384615,403409588.46153843,20085.05883639723,-51.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 8, 'max_features': 0.8786638908427578, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-301252466.0888889, -24482344.18888889, -16392820.313]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5515.5, 6742.5, 39479.0, 796.0, 7307.5, 1032.0, 14000.0, 5787.0, 796.0, 3240.0, 4557.0, 2042.5, 10204.0]"
1,maxwell,CART,SA,Bootstrap,3,1.0,-0.0673881244402248,9292.461538461539,285768070.7692308,16904.67600308361,-7.000000000000001,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.5962740268436275, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-15328162.3125, -66042940.11764706, -143400324.625, -174992906.1, -30108036.066666666, -25774098.736842107, -125569662.25, -207898681.94117647, -36720684.11764706, -95107862.95, -65632181.47058824, -41805477.85, -79552537.11764705, -91745073.85714285, -15386666.94117647, -91795475.78571428, -104171571.57142857, -109330609.55555555, -76874977.8, -84468353.05882353, -32419190.35714286, -37011508.38888889, -28640427.0, -164452723.29411766, -86092776.26666667, -90471368.25, -38005289.578947365, -61181703.93333333, -35297273.86956522, -54903356.76190476, -157950834.7142857, -34431535.94736842, -31382302.0, -77226212.58823529, -107422996.38095239, -148463668.55, -91347645.1764706, -30979949.23529412, -47819524.666666664, -78184167.57894737, -98325845.33333333, -52774490.631578945, -102185571.45454545, -100722235.05555555, -50894695.75, -39930989.684210524, -39836314.35294118, -101898988.23529412, -186626843.0, -103420997.375]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10000.0, 3850.0, 3440.0, 7184.0, 10000.0, 1745.0, 14000.0, 8117.0, 7320.0, 5787.0, 14000.0, 1520.0, 8117.0]"
